"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Mar-2023","EQ","1,794.00","1,834.00","1,780.00","1,815.40","1,800.00","1,794.00","1,806.17","4,190.00","1,017.45",4108804,"7,421,203,031.00",169920
"22-Mar-2023","EQ","1,834.00","1,850.00","1,806.15","1,824.25","1,809.35","1,815.40","1,825.77","4,190.00","1,017.45",3248124,"5,930,335,770.35",130781
"21-Mar-2023","EQ","1,836.95","1,861.00","1,804.95","1,804.95","1,821.50","1,824.25","1,829.30","4,190.00","1,017.45",4094018,"7,489,199,702.80",158108
"20-Mar-2023","EQ","1,837.00","1,849.95","1,777.40","1,876.55","1,812.00","1,804.95","1,805.76","4,190.00","1,017.45",5168139,"9,332,429,725.15",227261
"17-Mar-2023","EQ","1,901.00","1,918.85","1,845.00","1,843.80","1,874.00","1,876.55","1,870.80","4,190.00","1,017.45",5969594,"11,167,944,229.35",263971
"16-Mar-2023","EQ","1,861.00","1,875.00","1,795.00","1,839.00","1,840.00","1,843.80","1,838.73","4,190.00","1,017.45",6509495,"11,969,202,063.80",311541
"15-Mar-2023","EQ","1,760.90","1,891.45","1,728.10","1,738.20","1,838.00","1,839.00","1,809.83","4,190.00","1,017.45",12296703,"22,254,903,981.50",573832
"14-Mar-2023","EQ","1,874.00","1,874.85","1,651.35","1,874.40","1,730.00","1,738.20","1,742.93","4,190.00","1,017.45",12679663,"22,099,819,684.25",551558
"13-Mar-2023","EQ","1,917.00","1,985.00","1,857.40","1,896.20","1,859.00","1,874.40","1,922.43","4,190.00","1,017.45",7572604,"14,557,763,249.80",373128
"10-Mar-2023","EQ","1,870.00","1,940.00","1,820.60","1,953.15","1,894.20","1,896.20","1,889.62","4,190.00","1,017.45",9419942,"17,800,126,062.50",465434
"09-Mar-2023","EQ","2,049.80","2,068.85","1,905.35","2,039.65","1,941.40","1,953.15","1,970.16","4,190.00","1,017.45",12627794,"24,878,712,558.40",629218
"08-Mar-2023","EQ","2,040.00","2,088.00","1,941.00","1,982.90","2,039.00","2,039.65","2,029.34","4,190.00","1,017.45",13568243,"27,534,592,803.85",625491
"06-Mar-2023","EQ","1,966.70","2,135.00","1,855.00","1,879.50","1,982.00","1,982.90","2,021.04","4,190.00","1,017.45",27180456,"54,932,839,562.45",1230939
"03-Mar-2023","EQ","1,688.85","1,905.95","1,685.50","1,607.25","1,874.00","1,879.50","1,806.68","4,190.00","1,017.45",22888891,"41,352,917,851.60",822488
"02-Mar-2023","EQ","1,499.90","1,646.00","1,407.90","1,564.30","1,588.00","1,607.25","1,564.51","4,190.00","1,017.45",26970925,"42,196,200,068.15",924791
"01-Mar-2023","EQ","1,424.00","1,580.00","1,411.00","1,363.85","1,579.00","1,564.30","1,511.37","4,190.00","1,017.45",20114340,"30,400,282,052.45",758963
"28-Feb-2023","EQ","1,145.00","1,398.00","1,103.75","1,193.50","1,371.35","1,363.85","1,307.03","4,190.00","1,017.45",33948366,"44,371,629,472.60",1047492
"27-Feb-2023","EQ","1,300.00","1,313.80","1,131.05","1,315.65","1,187.55","1,193.50","1,222.37","4,190.00","1,017.45",10271008,"12,554,940,831.15",487401
"24-Feb-2023","EQ","1,410.00","1,427.00","1,261.60","1,382.65","1,312.00","1,315.65","1,321.15","4,190.00","1,017.45",8736727,"11,542,501,086.15",422968
"23-Feb-2023","EQ","1,380.00","1,438.00","1,350.00","1,404.85","1,388.85","1,382.65","1,394.00","4,190.00","1,017.45",8907540,"12,417,096,828.45",427592
"22-Feb-2023","EQ","1,535.00","1,560.00","1,381.20","1,571.10","1,397.50","1,404.85","1,439.33","4,190.00","1,017.45",10606476,"15,266,186,108.80",509088
"21-Feb-2023","EQ","1,626.00","1,644.45","1,561.30","1,621.45","1,563.90","1,571.10","1,598.62","4,190.00","1,017.45",5571915,"8,907,400,136.15",281877
"20-Feb-2023","EQ","1,650.00","1,685.00","1,560.50","1,722.70","1,613.00","1,621.45","1,623.91","4,190.00","1,017.45",6762330,"10,981,416,978.40",334008
"17-Feb-2023","EQ","1,800.00","1,815.85","1,703.20","1,796.60","1,719.00","1,722.70","1,747.80","4,190.00","1,017.45",5392513,"9,425,015,185.70",282372
"16-Feb-2023","EQ","1,820.00","1,874.95","1,790.00","1,779.10","1,796.85","1,796.60","1,818.58","4,190.00","1,017.45",5578515,"10,145,002,776.50",298112
"15-Feb-2023","EQ","1,780.00","1,824.40","1,750.00","1,749.70","1,772.00","1,779.10","1,788.18","4,190.00","1,017.45",7636578,"13,655,586,649.50",385669
"14-Feb-2023","EQ","1,735.00","1,889.00","1,611.35","1,717.65","1,750.00","1,749.70","1,736.55","4,190.00","1,017.45",14579030,"25,317,265,469.45",687240
"13-Feb-2023","EQ","1,850.00","1,921.70","1,662.25","1,846.95","1,706.00","1,717.65","1,753.00","4,190.00","1,017.45",12210940,"21,405,744,070.10",617527
"10-Feb-2023","EQ","1,769.00","1,990.00","1,733.15","1,925.70","1,853.00","1,846.95","1,891.35","4,190.00","1,017.45",11334878,"21,438,181,678.75",539738
"09-Feb-2023","EQ","2,168.00","2,168.00","1,731.40","2,164.25","1,922.00","1,925.70","1,972.72","4,190.00","1,017.45",18279862,"36,061,116,390.95",829391
"08-Feb-2023","EQ","1,869.85","2,222.15","1,840.85","1,802.95","2,220.00","2,164.25","2,023.24","4,190.00","1,017.45",19173006,"38,791,512,825.60",861666
"07-Feb-2023","EQ","1,571.00","1,962.70","1,525.60","1,572.70","1,813.00","1,802.95","1,764.46","4,190.00","1,017.45",19188072,"33,856,529,198.55",809538
"06-Feb-2023","EQ","1,575.00","1,615.00","1,435.20","1,586.80","1,554.30","1,572.70","1,539.88","4,190.00","1,017.45",19308603,"29,732,853,741.55",911312
"03-Feb-2023","EQ","1,490.00","1,679.90","1,017.45","1,565.25","1,531.00","1,586.80","1,354.92","4,190.00","1,017.45",43885579,"59,461,532,709.05",1704970
"02-Feb-2023","EQ","2,348.85","2,348.85","1,494.75","2,135.35","1,565.30","1,565.25","1,827.68","4,190.00","1,494.75",34474080,"63,007,692,681.80",1563346
"01-Feb-2023","EQ","2,995.00","3,010.75","1,941.20","2,973.90","2,179.75","2,135.35","2,540.21","4,190.00","1,528.80",13525314,"34,357,172,149.05",566482
"31-Jan-2023","EQ","2,980.00","3,073.60","2,906.00","2,892.85","2,948.00","2,973.90","2,984.79","4,190.00","1,528.80",11568020,"34,528,064,984.40",497618
"30-Jan-2023","EQ","2,850.00","3,037.55","2,665.00","2,761.45","2,869.85","2,892.85","2,865.44","4,190.00","1,528.80",20947906,"60,024,945,536.25",907742
"27-Jan-2023","EQ","3,335.00","3,346.50","2,712.00","3,388.95","2,768.50","2,761.45","3,010.35","4,190.00","1,528.80",14764368,"44,445,979,636.20",562994
"25-Jan-2023","EQ","3,422.00","3,428.00","3,315.00","3,442.00","3,405.00","3,388.95","3,372.68","4,190.00","1,528.80",3686439,"12,433,194,761.25",114072
"24-Jan-2023","EQ","3,447.45","3,508.00","3,430.00","3,436.35","3,441.00","3,442.00","3,458.77","4,190.00","1,528.80",1518123,"5,250,832,989.65",62403
"23-Jan-2023","EQ","3,443.05","3,460.00","3,412.55","3,456.15","3,439.50","3,436.35","3,435.17","4,190.00","1,528.80",974857,"3,348,800,915.95",45252
"20-Jan-2023","EQ","3,450.00","3,477.35","3,440.95","3,463.55","3,451.00","3,456.15","3,456.32","4,190.00","1,528.80",1510258,"5,219,931,466.90",55259
"19-Jan-2023","EQ","3,470.00","3,537.70","3,426.70","3,596.70","3,458.00","3,463.55","3,468.31","4,190.00","1,528.80",3696319,"12,819,988,176.70",153420
"18-Jan-2023","EQ","3,648.00","3,648.00","3,527.10","3,639.35","3,584.90","3,596.70","3,590.24","4,190.00","1,528.80",3652240,"13,112,432,423.50",123459
"17-Jan-2023","EQ","3,620.00","3,649.60","3,560.20","3,619.80","3,640.00","3,639.35","3,615.39","4,190.00","1,528.80",1668381,"6,031,849,312.75",75220
"16-Jan-2023","EQ","3,720.00","3,739.95","3,600.00","3,721.15","3,621.00","3,619.80","3,637.65","4,190.00","1,528.80",1863848,"6,780,032,266.00",81657
"13-Jan-2023","EQ","3,651.20","3,736.05","3,642.20","3,647.20","3,720.00","3,721.15","3,693.45","4,190.00","1,528.80",1364712,"5,040,492,790.50",71398
"12-Jan-2023","EQ","3,642.50","3,679.00","3,612.00","3,635.80","3,641.75","3,647.20","3,644.00","4,190.00","1,528.80",1199785,"4,372,019,613.45",61175
"11-Jan-2023","EQ","3,660.00","3,664.50","3,560.10","3,646.90","3,635.00","3,635.80","3,616.79","4,190.00","1,528.80",2226506,"8,052,797,086.85",104118
"10-Jan-2023","EQ","3,859.00","3,862.05","3,555.00","3,855.30","3,636.85","3,646.90","3,672.11","4,190.00","1,528.80",3595798,"13,204,175,227.25",161278
"09-Jan-2023","EQ","3,843.00","3,880.00","3,811.25","3,824.25","3,853.00","3,855.30","3,850.60","4,190.00","1,528.80",753981,"2,903,281,089.00",42423
"06-Jan-2023","EQ","3,829.00","3,868.25","3,797.05","3,829.80","3,824.00","3,824.25","3,834.29","4,190.00","1,528.80",912159,"3,497,485,465.55",44367
"05-Jan-2023","EQ","3,827.05","3,842.40","3,756.90","3,827.05","3,839.00","3,829.80","3,813.43","4,190.00","1,528.80",997006,"3,802,009,161.60",49242
"04-Jan-2023","EQ","3,839.00","3,874.95","3,803.60","3,830.95","3,822.00","3,827.05","3,833.86","4,190.00","1,528.80",1028377,"3,942,649,146.95",47586
"03-Jan-2023","EQ","3,841.90","3,852.85","3,791.00","3,841.20","3,828.10","3,830.95","3,830.96","4,190.00","1,528.80",799905,"3,064,403,987.15",38042
"02-Jan-2023","EQ","3,870.00","3,874.00","3,822.55","3,858.35","3,843.00","3,841.20","3,847.82","4,190.00","1,528.80",923051,"3,551,733,873.75",42124